[constant|pass|j4|min_d67|mini] 到终 True 违规 0 线前停 False 时间 35.0 E 58 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/0 | 采纳 d70 v16.0 M+30 (1s)
[constant|pass|j4|min_d56|mini] 到终 True 违规 0 线前停 False 时间 35.0 E 58 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/0 | 采纳 d62 v16.0 M+22 (1s)
[constant|pass|j4|min_d44|mini] 到终 True 违规 0 线前停 False 时间 35.5 E 64 | 准备最大减速 2.43 v@cue 14.78581936688698 | 高速平顺 False 回退 1/0 | 采纳 d41 v12.0 M+20 (1s)
[constant|pass|j4|min_d32|mini] 到终 True 违规 0 线前停 False 时间 36.0 E 65 | 准备最大减速 2.78 v@cue 12.02921124965951 | 高速平顺 False 回退 1/0 | 采纳 d35 v10.8 M+18 (1s)
[v4r|stop|j2|early|cons] 到终 True 违规 0 线前停 True 时间 73.0 E 68 | 准备最大减速 0.00 v@cue None | 高速平顺 True 回退 0/0 | 采纳 d174 v16.0 M+127 (2s)
[v4r|stop|j2|cons_d150|cons] 到终 True 违规 0 线前停 True 时间 73.0 E 68 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/0 | 采纳 d158 v16.0 M+111 (2s)
[v4r|stop|j2|cons_d120|cons] 到终 True 违规 0 线前停 True 时间 73.0 E 69 | 准备最大减速 0.02 v@cue 15.970719147007912 | 高速平顺 True 回退 0/8 | 采纳 d126 v16.0 M+79 (2s)
[v4r|stop|j2|cons_d100|cons] 到终 True 违规 0 线前停 True 时间 73.0 E 70 | 准备最大减速 0.02 v@cue 16.0 | 高速平顺 True 回退 0/7 | 采纳 d102 v16.0 M+55 (2s)
[v4r|stop|j2|cons_d89|cons] 到终 True 违规 0 线前停 True 时间 73.0 E 70 | 准备最大减速 0.02 v@cue 16.0 | 高速平顺 True 回退 0/7 | 采纳 d94 v15.7 M+52 (2s)
[v4r|stop|j2|cons_d78|cons] 到终 True 违规 0 线前停 True 时间 73.0 E 70 | 准备最大减速 1.54 v@cue 14.959734758107743 | 高速平顺 True 回退 0/7 | 采纳 d79 v13.7 M+52 (2s)
[v4r|stop|j2|cons_d67|cons] 到终 True 违规 0 线前停 True 时间 73.0 E 70 | 准备最大减速 2.54 v@cue 13.689602137161614 | 高速平顺 True 回退 0/7 | 采纳 d72 v12.9 M+46 (2s)
[v4r|stop|j2|cons_d56|cons] 到终 True 违规 0 线前停 True 时间 73.0 E 70 | 准备最大减速 2.54 v@cue 12.649336895269357 | 高速平顺 True 回退 0/7 | 采纳 d60 v12.8 M+26 (2s)
[v4r|stop|j2|cons_d44|cons] 到终 True 违规 0 线前停 True 时间 73.0 E 70 | 准备最大减速 2.54 v@cue 12.432251946497079 | 高速平顺 True 回退 0/7 | 采纳 d47 v11.6 M+26 (2s)
[v4r|stop|j2|cons_d32|cons] 到终 True 违规 0 线前停 True 时间 73.0 E 70 | 准备最大减速 2.54 v@cue 10.691915051424498 | 高速平顺 True 回退 0/7 | 采纳 d37 v9.5 M+23 (2s)
[v4r|stop|j2|min_d150|mini] 到终 True 违规 0 线前停 True 时间 73.0 E 68 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/0 | 采纳 d158 v16.0 M+111 (2s)
[v4r|stop|j2|min_d120|mini] 到终 True 违规 0 线前停 True 时间 73.0 E 69 | 准备最大减速 0.02 v@cue 15.970719147007912 | 高速平顺 True 回退 0/8 | 采纳 d126 v16.0 M+79 (2s)
[v4r|stop|j2|min_d100|mini] 到终 True 违规 0 线前停 True 时间 73.0 E 70 | 准备最大减速 0.02 v@cue 16.0 | 高速平顺 True 回退 0/7 | 采纳 d102 v16.0 M+55 (2s)
