工况 0: 到达 False 违规 0 弯道超速 0 end_x 1555.7 时间 600.0 停车时长 519.0
85 x 934 v 22.2 vlim 22.2 | 弯 d 520.0 ann True act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.51, 124) 灯 (0.05, 77) 终 (0.05, 54) 解 (0.03, 78) | 感知 unknown 真绿 False 目标 [(1358, 9.722222222222221)] fb False
86 x 945 v 22.2 vlim 22.2 | 弯 d 513.16 ann True act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.67, 120) 灯 (0.04, 70) 终 (0.04, 55) 解 (0.03, 60) | 感知 unknown 真绿 False 目标 [(1364, 9.722222222222221)] fb False
87 x 957 v 22.2 vlim 22.2 | 弯 d 502.8 ann True act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.76, 104) 灯 (0.03, 53) 终 (0.04, 53) 解 (0.04, 73) | 感知 unknown 真绿 False 目标 [(1366, 9.722222222222221)] fb False
88 x 968 v 22.2 vlim 22.2 | 弯 d 494.83 ann True act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.39, 100) 灯 (0.03, 57) 终 (0.04, 49) 解 (0.04, 100) | 感知 unknown 真绿 False 目标 [(1370, 9.722222222222221)] fb False
89 x 979 v 22.2 vlim 22.2 | 弯 d 492.67 ann True act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.36, 106) 灯 (0.02, 40) 终 (0.05, 44) 解 (0.03, 103) | 感知 unknown 真绿 False 目标 [(1380, 9.722222222222221)] fb False
90 x 990 v 22.2 vlim 22.2 | 弯 d 478.37 ann True act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.54, 74) 灯 (0.03, 13) 终 (0.06, 47) 解 (0.02, 70) | 感知 unknown 真绿 False 目标 [(1378, 9.722222222222221)] fb False
91 x 1001 v 22.2 vlim 22.2 | 弯 d 467.26 ann True act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.19, 93) 灯 (0.16, 37) 终 (0.07, 53) 解 (0.03, 83) | 感知 unknown 真绿 False 目标 [(1380, 9.722222222222221)] fb False
92 x 1012 v 22.2 vlim 22.2 | 弯 d 448.8 ann True act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.32, 38) 灯 (0.09, 38) 终 (0.15, 125) 解 (0.03, 106) | 感知 unknown 真绿 False 目标 [(1376, 9.722222222222221)] fb False
93 x 1023 v 22.2 vlim 22.2 | 弯 d 440.81 ann True act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.28, 45) 灯 (0.07, 45) 终 (0.05, 48) 解 (0.03, 123) | 感知 unknown 真绿 False 目标 [(1380, 9.722222222222221)] fb False
94 x 1034 v 22.2 vlim 22.2 | 弯 d 423.11 ann True act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.51, 13) 灯 (0.75, 42) 终 (0.05, 18) 解 (0.14, 42) | 感知 unknown 真绿 False 目标 [(1376, 9.722222222222221)] fb False
